"","column_label","trans_type","threshold_temporal","proportion_sim_temporal"
"1",1,"g1g1",172.853075203299,0.390393251081657
"2",1,"mixed",192.59045214951,0.469068457187319
"3",1,"g2g2",218.723019237816,0.140538291731024
"4",2,"g1g1",166.628945516329,0.4669452425594
"5",2,"mixed",202.4103659302,0.316482064810489
"6",2,"g2g2",272.697281777859,0.216572692630111
"7",3,"g1g1",163.866408637911,0.539724542804241
"8",3,"mixed",207.590911692381,0.170339762534142
"9",3,"g2g2",301.621489214897,0.289935694661617
"10",4,"g1g1",162.676795934141,0.58094927282355
"11",4,"mixed",209.301282793283,0.0879852708974242
"12",4,"g2g2",312.980316415429,0.331065456279026
"13",5,"g1g1",162.274746934324,0.602469699739326
"14",5,"mixed",212.738596835732,0.0447635077704104
"15",5,"g2g2",318.312859743833,0.352766792490263
"16",6,"g1g1",161.879542440176,0.613408680862777
"17",6,"mixed",210.074544584751,0.0226740744578637
"18",6,"g2g2",320.535627502203,0.363917244679359
"19",7,"g1g1",161.841190090869,0.619255165458758
"20",7,"mixed",211.417866080999,0.0114256386039755
"21",7,"g2g2",322.084967076778,0.369319195937266
"22",8,"g1g1",161.752511458099,0.622171689551059
"23",8,"mixed",216.807258349657,0.00572273166071436
"24",8,"g2g2",322.645158052444,0.372105578788227
"25",9,"g1g1",161.776305019855,0.623392891567325
"26",9,"mixed",211.402692943811,0.00287985672107885
"27",9,"g2g2",323.27978695035,0.373727251711596
"28",10,"g1g1",161.70038665533,0.6241474
"29",10,"mixed",219.640335088968,0.001457
"30",10,"g2g2",323.150451029837,0.3743956
