"","column_label","trans_type","threshold_temporal","proportion_sim_temporal"
"1",1,"g1g1",161.29008295536,0.390393251081657
"2",1,"mixed",161.22714388147,0.469068457187319
"3",1,"g2g2",160.941145910323,0.140538291731024
"4",2,"g1g1",161.452152313292,0.4669452425594
"5",2,"mixed",161.718332964182,0.316482064810489
"6",2,"g2g2",161.964569449425,0.216572692630111
"7",3,"g1g1",161.769330177922,0.539724542804241
"8",3,"mixed",161.616120857,0.170339762534142
"9",3,"g2g2",161.564559453726,0.289935694661617
"10",4,"g1g1",161.743938625976,0.58094927282355
"11",4,"mixed",161.249883037806,0.0879852708974242
"12",4,"g2g2",161.443401932716,0.331065456279026
"13",5,"g1g1",161.835702823289,0.602469699739326
"14",5,"mixed",161.517006725073,0.0447635077704104
"15",5,"g2g2",161.509613931179,0.352766792490263
"16",6,"g1g1",161.681174462661,0.613408680862777
"17",6,"mixed",160.002612423897,0.0226740744578637
"18",6,"g2g2",161.441609767079,0.363917244679359
"19",7,"g1g1",161.748015557229,0.619255165458758
"20",7,"mixed",160.624595552683,0.0114256386039755
"21",7,"g2g2",161.65929569602,0.369319195937266
"22",8,"g1g1",161.705626178905,0.622171689551059
"23",8,"mixed",161.556607824564,0.00572273166071436
"24",8,"g2g2",161.629185646772,0.372105578788227
"25",9,"g1g1",161.747750591487,0.623392891567325
"26",9,"mixed",162.516237467527,0.00287985672107885
"27",9,"g2g2",161.773488348722,0.373727251711596
"28",10,"g1g1",161.691647991538,0.6241474
"29",10,"mixed",163.104420745373,0.001457
"30",10,"g2g2",161.647972324491,0.3743956
