"","column_label","trans_type","threshold_temporal","proportion_sim_temporal"
"1",1,"g1g1",264.708891928196,0.390393251081657
"2",1,"mixed",306.552349931001,0.469068457187319
"3",1,"g2g2",350.234904566407,0.140538291731024
"4",2,"g1g1",218.133661167324,0.4669452425594
"5",2,"mixed",320.163822126388,0.316482064810489
"6",2,"g2g2",422.50710426569,0.216572692630111
"7",3,"g1g1",186.142241789401,0.539724542804241
"8",3,"mixed",326.569684070348,0.170339762534142
"9",3,"g2g2",458.529297101498,0.289935694661617
"10",4,"g1g1",172.972260980308,0.58094927282355
"11",4,"mixed",329.363443231583,0.0879852708974242
"12",4,"g2g2",472.344375425577,0.331065456279026
"13",5,"g1g1",167.132294913754,0.602469699739326
"14",5,"mixed",334.458122724295,0.0447635077704104
"15",5,"g2g2",478.848865103721,0.352766792490263
"16",6,"g1g1",164.304853450134,0.613408680862777
"17",6,"mixed",329.015931922197,0.0226740744578637
"18",6,"g2g2",481.558888888359,0.363917244679359
"19",7,"g1g1",162.977081005275,0.619255165458758
"20",7,"mixed",332.60142454505,0.0114256386039755
"21",7,"g2g2",483.493255388737,0.369319195937266
"22",8,"g1g1",162.357564379461,0.622171689551059
"23",8,"mixed",339.672396242618,0.00572273166071436
"24",8,"g2g2",484.11695498228,0.372105578788227
"25",9,"g1g1",162.058226007968,0.623392891567325
"26",9,"mixed",326.58234077692,0.00287985672107885
"27",9,"g2g2",485.011162751913,0.373727251711596
"28",10,"g1g1",161.839255434275,0.6241474
"29",10,"mixed",340.890234786272,0.001457
"30",10,"g2g2",484.775346472859,0.3743956
