"","column_label","trans_type","threshold_temporal","proportion_sim_temporal"
"1",1,"g1g1",121.382981453836,0.39030178528618
"2",1,"mixed",159.994937679171,0.469078610217283
"3",1,"g2g2",208.164637861773,0.140619604496537
"4",2,"g1g1",93.9224619541316,0.466566031364501
"5",2,"mixed",174.975230067968,0.316799225422573
"6",2,"g2g2",270.629356446862,0.216634743212926
"7",3,"g1g1",78.508780202642,0.539792222468927
"8",3,"mixed",183.247907057405,0.170257828090318
"9",3,"g2g2",301.160197913647,0.289949949440755
"10",4,"g1g1",72.549349360913,0.581007569744723
"11",4,"mixed",187.521296620369,0.0878415675622986
"12",4,"g2g2",312.916184440255,0.331150862692978
"13",5,"g1g1",70.024981161952,0.602436649906743
"14",5,"mixed",190.035332629084,0.0448227616043778
"15",5,"g2g2",318.356980599463,0.35274058848888
"16",6,"g1g1",68.7853434950113,0.613675509823859
"17",6,"mixed",192.101141861081,0.0226270151130471
"18",6,"g2g2",320.741402506829,0.363697475063094
"19",7,"g1g1",68.1997389244149,0.619392844574586
"20",7,"mixed",190.821439534426,0.0113886507897108
"21",7,"g2g2",322.116146534681,0.369218504635703
"22",8,"g1g1",67.967613868881,0.622043751826796
"23",8,"mixed",194.705303710699,0.00575184824370448
"24",8,"g2g2",322.455143654347,0.372204399929499
"25",9,"g1g1",67.8260149136186,0.623510496744438
"26",9,"mixed",197.576795005798,0.00286372339311007
"27",9,"g2g2",323.318805235624,0.373625779862452
"28",10,"g1g1",67.7262381052598,0.624242548400389
"29",10,"mixed",195.647720932961,0.0014272874649898
"30",10,"g2g2",323.14725138545,0.374330164134621
