"","column_label","trans_type","threshold_temporal","proportion_sim_temporal"
"1",1,"g1g1",103.845211295783,0.39030178528618
"2",1,"mixed",104.10989112705,0.469078610217283
"3",1,"g2g2",104.082318932097,0.140619604496537
"4",2,"g1g1",88.3111125551163,0.466566031364501
"5",2,"mixed",110.838150680065,0.316799225422573
"6",2,"g2g2",135.314678239822,0.216634743212926
"7",3,"g1g1",77.1180109381675,0.539792222468927
"8",3,"mixed",114.344469946623,0.170257828090318
"9",3,"g2g2",150.580098974705,0.289949949440755
"10",4,"g1g1",72.0945491701364,0.581007569744723
"11",4,"mixed",116.541540175676,0.0878415675622986
"12",4,"g2g2",156.458092220128,0.331150862692978
"13",5,"g1g1",69.8409924998879,0.602436649906743
"14",5,"mixed",117.350749480724,0.0448227616043778
"15",5,"g2g2",159.178490322828,0.35274058848888
"16",6,"g1g1",68.705813652277,0.613675509823859
"17",6,"mixed",118.241834056377,0.0226270151130471
"18",6,"g2g2",160.370701253414,0.363697475063094
"19",7,"g1g1",68.1536671230569,0.619392844574586
"20",7,"mixed",117.723264831305,0.0113886507897108
"21",7,"g2g2",161.058073267341,0.369218504635703
"22",8,"g1g1",67.9472172297537,0.622043751826796
"23",8,"mixed",119.99299352169,0.00575184824370448
"24",8,"g2g2",161.227571833134,0.372204399929499
"25",9,"g1g1",67.8150806711987,0.623510496744438
"26",9,"mixed",121.923017150164,0.00286372339311007
"27",9,"g2g2",161.659402608871,0.373625779862452
"28",10,"g1g1",67.7221338720992,0.624242548400389
"29",10,"mixed",121.575976073742,0.0014272874649898
"30",10,"g2g2",161.573625709116,0.374330164134621
