,column_label,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal
15,5,g2g2,67.68370675,0.352619271,g2g2,135.3674135,0.352619271,g2g2,203.0511202,0.352619271,g2g2,159.1784903,0.352740588,g2g2,318.3569806,0.352740588,g2g2,477.5354709,0.352740588,g2g2,161.5096139,0.352766792,g2g2,318.3128597,0.352766792,g2g2,478.8488651,0.352766792,g2g2,337.3926799,0.353001413,g2g2,669.1242397,0.353001413,g2g2,1005.709249,0.353001413
16,6,g1g1,67.65334414,0.613672123,g1g1,67.65334414,0.613672123,g1g1,67.65334414,0.613672123,g1g1,68.70581365,0.61367551,g1g1,68.7853435,0.61367551,g1g1,70.40557126,0.61367551,g1g1,161.6811745,0.613408681,g1g1,161.8795424,0.613408681,g1g1,164.3048535,0.613408681,g1g1,208.3144712,0.613301867,g1g1,209.2688741,0.613301867,g1g1,215.2733169,0.613301867
17,6,mixed,67.58899662,0.022655905,mixed,67.58899662,0.022655905,mixed,135.1779932,0.022655905,mixed,118.2418341,0.022627015,mixed,192.1011419,0.022627015,mixed,308.1555708,0.022627015,mixed,160.0026124,0.022674074,mixed,210.0745446,0.022674074,mixed,329.0159319,0.022674074,mixed,277.8276614,0.022691936,mixed,432.9367782,0.022691936,mixed,678.2408215,0.022691936
18,6,g2g2,67.67298716,0.363671973,g2g2,135.3459744,0.363671973,g2g2,203.0189615,0.363671973,g2g2,160.3707013,0.363697475,g2g2,320.7414025,0.363697475,g2g2,481.1121037,0.363697475,g2g2,161.4416098,0.363917245,g2g2,320.5356275,0.363917245,g2g2,481.5588889,0.363917245,g2g2,339.4979877,0.364006197,g2g2,676.2333019,0.364006197,g2g2,1015.462727,0.364006197
19,7,g1g1,67.59131042,0.619321724,g1g1,67.59131042,0.619321724,g1g1,67.59131041,0.619321724,g1g1,68.15366712,0.619392845,g1g1,68.19973892,0.619392845,g1g1,68.96033555,0.619392845,g1g1,161.7480156,0.619255165,g1g1,161.8411901,0.619255165,g1g1,162.977081,0.619255165,g1g1,207.8240233,0.619342133,g1g1,208.2844663,0.619342133,g1g1,211.1008553,0.619342133
20,7,mixed,67.92509724,0.011356702,mixed,67.92509727,0.011356702,mixed,135.8501945,0.011356702,mixed,117.7232648,0.011388651,mixed,190.8214395,0.011388651,mixed,307.100194,0.011388651,mixed,160.6245956,0.011425639,mixed,211.4178661,0.011425639,mixed,332.6014245,0.011425639,mixed,275.159382,0.011465825,mixed,429.1957569,0.011465825,mixed,669.7938649,0.011465825
21,7,g2g2,67.60824174,0.369321574,g2g2,135.2164835,0.369321574,g2g2,202.8247252,0.369321574,g2g2,161.0580733,0.369218505,g2g2,322.1161465,0.369218505,g2g2,483.1742198,0.369218505,g2g2,161.6592957,0.369319196,g2g2,322.0849671,0.369319196,g2g2,483.4932554,0.369319196,g2g2,341.7424829,0.369192041,g2g2,681.9608776,0.369192041,g2g2,1023.463908,0.369192041
22,8,g1g1,67.70682344,0.622123324,g1g1,67.70682344,0.622123324,g1g1,67.70682344,0.622123324,g1g1,67.94721723,0.622043752,g1g1,67.96761387,0.622043752,g1g1,68.34491508,0.622043752,g1g1,161.7056262,0.62217169,g1g1,161.7525115,0.62217169,g1g1,162.3575644,0.62217169,g1g1,207.4756995,0.621893928,g1g1,207.7175095,0.621893928,g1g1,209.1560052,0.621893928
23,8,mixed,67.49302896,0.005753501,mixed,67.49302897,0.005753501,mixed,134.9860579,0.005753501,mixed,119.9929935,0.005751848,mixed,194.7053037,0.005751848,mixed,312.2365124,0.005751848,mixed,161.5566078,0.005722732,mixed,216.8072583,0.005722732,mixed,339.6723962,0.005722732,mixed,274.1821147,0.005733768,mixed,429.798634,0.005733768,mixed,675.5094128,0.005733768
24,8,g2g2,67.60483699,0.372123174,g2g2,135.2096739,0.372123174,g2g2,202.8145109,0.372123174,g2g2,161.2275718,0.3722044,g2g2,322.4551437,0.3722044,g2g2,483.6827155,0.3722044,g2g2,161.6291856,0.372105579,g2g2,322.6451581,0.372105579,g2g2,484.116955,0.372105579,g2g2,341.6911817,0.372372303,g2g2,682.5828027,0.372372303,g2g2,1024.178958,0.372372303
25,9,g1g1,67.70147776,0.623572425,g1g1,67.70147776,0.623572425,g1g1,67.70147776,0.623572425,g1g1,67.81508067,0.623510497,g1g1,67.82601491,0.623510497,g1g1,68.01007833,0.623510497,g1g1,161.7477506,0.623392892,g1g1,161.776305,0.623392892,g1g1,162.058226,0.623392892,g1g1,207.1259194,0.623526043,g1g1,207.2419745,0.623526043,g1g1,207.9745433,0.623526043
26,9,mixed,66.74393029,0.002855301,mixed,66.74393028,0.002855301,mixed,133.4878605,0.002855301,mixed,121.9230172,0.002863723,mixed,197.576795,0.002863723,mixed,315.6756352,0.002863723,mixed,162.5162375,0.002879857,mixed,211.4026929,0.002879857,mixed,326.5823408,0.002879857,mixed,274.5669023,0.002832238,mixed,422.3025852,0.002832238,mixed,661.9740318,0.002832238
27,9,g2g2,67.66870858,0.373572275,g2g2,135.3374172,0.373572275,g2g2,203.0061258,0.373572275,g2g2,161.6594026,0.37362578,g2g2,323.3188052,0.37362578,g2g2,484.9782078,0.37362578,g2g2,161.7734883,0.373727252,g2g2,323.279787,0.373727252,g2g2,485.0111628,0.373727252,g2g2,341.8584884,0.373641718,g2g2,683.3187137,0.373641718,g2g2,1025.102178,0.373641718
28,10,g1g1,67.6744135,0.624286025,g1g1,67.6744135,0.624286025,g1g1,67.6744135,0.624286025,g1g1,67.72213387,0.624242548,g1g1,67.72623811,0.624242548,g1g1,67.82881562,0.624242548,g1g1,161.691648,0.6241474,g1g1,161.7003867,0.6241474,g1g1,161.8392554,0.6241474,g1g1,207.1155801,0.623798629,g1g1,207.1645524,0.623798629,g1g1,207.5080122,0.623798629
29,10,mixed,68.81947646,0.0014281,mixed,68.81947646,0.0014281,mixed,137.6389529,0.0014281,mixed,121.5759761,0.001427287,mixed,195.6477209,0.001427287,mixed,315.2689115,0.001427287,mixed,163.1044207,0.001457,mixed,219.6403351,0.001457,mixed,340.8902348,0.001457,mixed,277.9961501,0.001466386,mixed,447.6851962,0.001466386,mixed,700.79966,0.001466386
30,10,g2g2,67.73892338,0.374285875,g2g2,135.4778467,0.374285875,g2g2,203.2167701,0.374285875,g2g2,161.5736257,0.374330164,g2g2,323.1472514,0.374330164,g2g2,484.7208771,0.374330164,g2g2,161.6479723,0.3743956,g2g2,323.150451,0.3743956,g2g2,484.7753465,0.3743956,g2g2,341.7743866,0.374734985,g2g2,683.3520235,0.374734985,g2g2,1025.117694,0.374734985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proportions ,,,,,,,,,,,,,,,,Transmission distance,,,,,,,,,,,,,,,,,,,,
