"","column_label","trans_type","threshold_temporal","proportion_sim_temporal"
"1",1,"g1g1",318.27529658433,0.390497712069766
"2",1,"mixed",340.594785345346,0.468660804700022
"3",1,"g2g2",364.954846180975,0.140841483230212
"4",2,"g1g1",262.560487419367,0.466556510183808
"5",2,"mixed",380.837717413902,0.316770650587986
"6",2,"g2g2",537.849567377567,0.216672839228206
"7",3,"g1g1",230.354710873961,0.5395625459808
"8",3,"mixed",402.377267572284,0.170316709166218
"9",3,"g2g2",623.384291641414,0.290120744852982
"10",4,"g1g1",217.212924179807,0.58086060475806
"11",4,"mixed",413.021455913782,0.0880011854279312
"12",4,"g2g2",657.337634795904,0.331138209814008
"13",5,"g1g1",212.172815920413,0.602246179427936
"14",5,"mixed",421.935973346233,0.0447524073317011
"15",5,"g2g2",669.124239730835,0.353001413240363
"16",6,"g1g1",209.268874107301,0.613301867182762
"17",6,"mixed",432.936778235435,0.0226919355080652
"18",6,"g2g2",676.233301872015,0.364006197309173
"19",7,"g1g1",208.284466330893,0.61934213320805
"20",7,"mixed",429.195756906271,0.0114658254778347
"21",7,"g2g2",681.960877609253,0.369192041314115
"22",8,"g1g1",207.717509512976,0.621893928193053
"23",8,"mixed",429.798634007573,0.00573376837853218
"24",8,"g2g2",682.582802712917,0.372372303428415
"25",9,"g1g1",207.241974500939,0.623526043333338
"26",9,"mixed",422.302585208416,0.00283223833795472
"27",9,"g2g2",683.318713715673,0.373641718328707
"28",10,"g1g1",207.16455235295,0.623798628964203
"29",10,"mixed",447.685196155309,0.00146638610690258
"30",10,"g2g2",683.352023518085,0.374734984928895
