"assort_vect","prop_succesful_gamma","min_chisq_gamma"
1,0,69.9055555555556
1.1,0,69.148438538206
1.2,0,63.7702996997237
1.3,0,56.2434658073756
1.4,0,49.4129210116265
1.5,0,39.9168272358741
1.6,0,31.2723015873016
1.7,0,25.5008798232463
1.8,0,20.2709327964721
1.9,0,15.1170093311685
2,0,11.3163461538462
2.1,0,9.08797729618163
2.2,0,7.3495115995116
2.3,0,5.19254903482896
2.4,0.01,3.28049657226487
2.5,0.07,2.4849427253408
2.6,0.12,1.7009009009009
2.7,0.18,1.59168813711213
2.8,0.2,1.59674502712477
2.9,0.11,1.88362831858407
3,0.07,2.56836132198451
3.1,0.01,2.90667293233083
3.2,0.01,3.02150192554557
3.3,0.01,3.54946746232579
3.4,0,4.7055417700579
3.5,0,6.30719909237804
3.6,0,8.63753105132415
3.7,0,9.51752873563218
3.8,0,13.9838154269972
3.9,0,16.2138635508181
4,0,18.9838544564371
4.1,0,24.3956043956044
4.2,0,27.1747689835275
4.3,0,31.0654363736523
4.4,0,34.9820690225481
4.5,0,46.4562115516063
4.6,0,44.7205939996985
4.7,0,51.4786026577071
4.8,0,67.5976923076923
4.9,0,73.0957095709571
5,0,82.304216507177
