"assort_vect","prop_succesful","min_chisq"
1,0,143.611908545276
1.1,0,154.027814332164
1.2,0,158.517188791488
1.3,0,169.054772852086
1.4,0,181.726043405494
1.5,0,197.967987542955
1.6,0,210.612792844411
1.7,0,233.057262003393
1.8,0,253.236953947281
1.9,0,256.550007421334
2,0,274.85281424626
2.1,0,286.723592934306
2.2,0,294.822040482276
2.3,0,309.383994621856
2.4,0,333.829593055578
2.5,0,349.235123047355
2.6,0,373.473241780752
2.7,0,397.832590475379
2.8,0,423.102484626515
2.9,0,462.372776747401
3,0,485.853621935828
3.1,0,512.063998756996
3.2,0,544.186249784164
3.3,0,568.025658694201
3.4,0,594.883952533385
3.5,0,633.645022607452
3.6,0,665.080168748275
3.7,0,714.622549092339
3.8,0,747.583889136539
3.9,0,799.086404828426
4,0,847.773684057683
4.1,0,908.985828067979
4.2,0,964.80311544166
4.3,0,1024.19874593154
4.4,0,1100.56362408865
4.5,0,1168.43060911644
4.6,0,1220.79386341743
4.7,0,1353.22534065029
4.8,0,1392.55586188141
4.9,0,1551.09259441044
5,0,1631.2123047671
