"assort_vect","prop_succesful","min_chisq"
1,0,327.710534042555
1.1,0,347.3844090552
1.2,0,372.465247934848
1.3,0,403.499543028003
1.4,0,471.847675666781
1.5,0,513.370320586426
1.6,0,606.73563831461
1.7,0,691.419452223083
1.8,0,773.247336526025
1.9,0,888.084304536881
2,0,996.418347912664
2.1,0,1071.02077990846
2.2,0,1155.27752366935
2.3,0,1262.27705021816
2.4,0,1381.34660434687
2.5,0,1480.45583346322
2.6,0,1601.85141125854
2.7,0,1742.81215211114
2.8,0,1901.13381386743
2.9,0,2050.40421692815
3,0,2216.96871618732
3.1,0,2359.59822824329
3.2,0,2551.47930213656
3.3,0,2753.42608219481
3.4,0,2914.61446600041
3.5,0,3191.3569886936
3.6,0,3466.46506210515
3.7,0,3697.55698621047
3.8,0,4008.0840298668
3.9,0,4310.9278037431
4,0,4556.31133835439
4.1,0,5017.1906579424
4.2,0,5433.63319723826
4.3,0,5858.16534837827
4.4,0,6114.75857592346
4.5,0,7019.70023376179
4.6,0,7422.96052170227
4.7,0,7705.65774373076
4.8,0,8838.47664411186
4.9,0,8827.13379832488
5,0,10051.020084699
