"assort_vect","prop_succesful_gamma","min_chisq_gamma"
1,0,57.9495399337505
1.1,0,57.2726464047443
1.2,0,51.8908718386116
1.3,0,46.2835597352839
1.4,0,39.9766084884711
1.5,0,34.1033846153846
1.6,0,27.9053402159504
1.7,0,23.0422231467998
1.8,0,18.2834649739476
1.9,0,15.0711156186613
2,0,11.9790666960158
2.1,0,8.75245974955277
2.2,0,6.98831412033659
2.3,0,5.28956659189217
2.4,0,4.53781991982732
2.5,0,4.67019110275689
2.6,0,5.92068573054489
2.7,0,6.41386215289302
2.8,0,7.11317608537473
2.9,0,8.02526996120665
3,0,8.87987399201629
3.1,0,9.31078904991949
3.2,0,10.402457571044
3.3,0,11.9578392621871
3.4,0,14.2492941862726
3.5,0,16.859243697479
3.6,0,19.2778136900248
3.7,0,22.4983081434694
3.8,0,26.4186029009305
3.9,0,31.1879081423649
4,0,36.5953155497723
4.1,0,40.7176870748299
4.2,0,48.0717377860235
4.3,0,52.9383331562231
4.4,0,64.0373011767749
4.5,0,70.2577723544166
4.6,0,77.9281928987811
4.7,0,86.1193693693694
4.8,0,96.0583412172816
4.9,0,106.963103122044
5,0,120.243009028698
