"assort_vect","prop_succesful","min_chisq"
1,0,101.619003245896
1.1,0,96.6833101518973
1.2,0,87.1838993270316
1.3,0,70.5997924643057
1.4,0,59.2518522031175
1.5,0,44.3336456651686
1.6,0,31.530621841677
1.7,0,22.0055518794535
1.8,0,13.8591872759695
1.9,0,8.29080841638981
2,0,4.44610363924051
2.1,0.17,1.6184719674902
2.2,0.4,0.298995246491204
2.3,0.58,0.140324201895348
2.4,0.58,0.117858426158821
2.5,0.39,0.121601396857072
2.6,0.19,0.845216874628639
2.7,0.1,2.69507169899477
2.8,0,4.72104686590668
2.9,0,7.60614604085908
3,0,11.9784382284382
3.1,0,17.3072237196765
3.2,0,22.9921043184458
3.3,0,29.7131909596608
3.4,0,37.348624530521
3.5,0,50.3082003816019
3.6,0,64.5370200593017
3.7,0,70.9666755547312
3.8,0,93.2072503419973
3.9,0,97.4756241054415
4,0,111.495850622407
4.1,0,133.034108006018
4.2,0,162.210731291376
4.3,0,184.74690447242
4.4,0,191.131611274904
4.5,0,236.764364527173
4.6,0,257.321099511541
4.7,0,284.059825779727
4.8,0,325.296597469798
4.9,0,307.517702301568
5,0,390.628466128466
