"assort_vect","prop_succesful_gamma","min_chisq_gamma"
1,0,500.875959878453
1.1,0,502.512583987245
1.2,0,538.3939801
1.3,0,562.975935668142
1.4,0,630.515271665357
1.5,0,652.659146708235
1.6,0,713.614124086498
1.7,0,768.473280997721
1.8,0,797.351305740517
1.9,0,846.306686037526
2,0,897.760219106643
2.1,0,989.411945290981
2.2,0,1044.94438067008
2.3,0,1076.15835053784
2.4,0,1167.94168227342
2.5,0,1257.46094853155
2.6,0,1329.15912383359
2.7,0,1406.42813173902
2.8,0,1488.40841642231
2.9,0,1595.09902886356
3,0,1685.38321708997
3.1,0,1779.89712375446
3.2,0,1914.28532405293
3.3,0,2054.32801098568
3.4,0,2180.23771792996
3.5,0,2322.74662970136
3.6,0,2485.41817762349
3.7,0,2699.56471265973
3.8,0,2844.58059490179
3.9,0,3081.56714129791
4,0,3262.67415089098
4.1,0,3541.05315274633
4.2,0,3764.3670447675
4.3,0,4051.25834211809
4.4,0,4356.07734327598
4.5,0,4678.33607671225
4.6,0,4990.29235992777
4.7,0,5337.03208246537
4.8,0,5705.61019624653
4.9,0,6268.71590563519
5,0,6596.29950537739
