"assort_vect","prop_succesful","min_chisq"
1,0,86.2436842105263
1.1,0,82.3529411764706
1.2,0,81.4988871224165
1.3,0,74.2812859268276
1.4,0,69.2466284219002
1.5,0,64.6777183600713
1.6,0,57.9141186299081
1.7,0,54.025706741224
1.8,0,48.1131578947368
1.9,0,44.8285822707954
2,0,39.6877320033705
2.1,0,36.9695978682171
2.2,0,32.5631313131313
2.3,0,29.8235726131249
2.4,0,28.5333229036295
2.5,0,25.6967731829574
2.6,0,23.6964645012935
2.7,0,22.4399494949495
2.8,0,21.3912124284093
2.9,0,20.5761524123593
3,0,20.0294060097834
3.1,0,19.8362198230619
3.2,0,20.5562599681021
3.3,0,20.1805194805195
3.4,0,18.711763382816
3.5,0,18.3693361433087
3.6,0,17.151153373129
3.7,0,17.6425800800801
3.8,0,16.8496296296296
3.9,0,18.4883982683983
4,0,17.1488406330512
4.1,0,18.2791353383459
4.2,0,18.9836807928913
4.3,0,19.0414673046252
4.4,0,20.0869218500797
4.5,0,20.9878542510121
4.6,0,21.6971706454465
4.7,0,23.8221706454465
4.8,0,23.8221706454465
4.9,0,26.2814429132631
5,0,25.63139329806
