"assort_vect","prop_succesful","min_chisq"
1,0,86.2511227902532
1.1,0,85.360646599777
1.2,0,81.4571107402772
1.3,0,74.6074134199134
1.4,0,68.9911579759824
1.5,0,61.0883234309059
1.6,0,56.5750165782493
1.7,0,50.6892140046413
1.8,0,44.7419080919081
1.9,0,41.0011363636364
2,0,37.1654824883191
2.1,0,33.2158865487697
2.2,0,29.8691056910569
2.3,0,26.4813127380627
2.4,0,24.4811827956989
2.5,0,22.7241982064143
2.6,0,19.4573863636364
2.7,0,18.0042735042735
2.8,0,16.7598814229249
2.9,0,15.7506778708748
3,0,15.2784803921569
3.1,0,15.4548254084242
3.2,0,13.9603667553978
3.3,0,14.6671014492754
3.4,0,14.1876691729323
3.5,0,14.6710684273709
3.6,0,14.3826342116066
3.7,0,13.8779710144928
3.8,0,13.6335335335335
3.9,0,13.4382954382954
4,0,13.3515151515152
4.1,0,13.4348484848485
4.2,0,13.7151515151515
4.3,0,13.7564935064935
4.4,0,14.2756302521008
4.5,0,14.9237421383648
4.6,0,14.4441602728048
4.7,0,14.5870174156619
4.8,0,14.5870174156619
4.9,0,15.1108269394714
5,0,15.7714604236343
