"assort_vect","prop_succesful_gamma","min_chisq_gamma"
1,0,661.162426410314
1.1,0,664.321345346601
1.2,0,666.218283806696
1.3,0,657.506433008236
1.4,0,639.780370697422
1.5,0,618.407762984916
1.6,0,617.626669820572
1.7,0,570.675076269846
1.8,0,559.950043406619
1.9,0,530.666183056052
2,0,520.361366509277
2.1,0,497.859983286791
2.2,0,484.310872025748
2.3,0,472.110685265038
2.4,0,452.534969648984
2.5,0,442.780539272017
2.6,0,438.153308402418
2.7,0,429.239607507021
2.8,0,423.27749841806
2.9,0,414.450549817172
3,0,418.134309166491
3.1,0,418.671668590484
3.2,0,416.933015155624
3.3,0,422.528326145435
3.4,0,428.348288102599
3.5,0,439.19780951764
3.6,0,451.706784115316
3.7,0,469.506946014657
3.8,0,483.183040157153
3.9,0,510.296960835815
4,0,524.387924162187
4.1,0,546.358547581915
4.2,0,570.052762581049
4.3,0,591.47299463483
4.4,0,626.77878519829
4.5,0,640.317241175084
4.6,0,690.792431477011
4.7,0,718.366653439153
4.8,0,747.419482533833
4.9,0,789.535963348982
5,0,840.833468295623
