"assort_vect","prop_succesful_gamma","min_chisq_gamma"
1,0,649.529980852468
1.1,0,663.499416207871
1.2,0,719.449575957596
1.3,0,776.911340838198
1.4,0,901.546772556051
1.5,0,911.089330797879
1.6,0,988.961061176148
1.7,0,1023.6369701877
1.8,0,1069.16632234392
1.9,0,1107.12044834951
2,0,1134.71211845869
2.1,0,1178.4369963013
2.2,0,1209.79229216526
2.3,0,1234.9828212326
2.4,0,1286.42684458242
2.5,0,1325.99612139483
2.6,0,1367.9880543879
2.7,0,1418.59511312871
2.8,0,1461.58911990307
2.9,0,1533.27401252491
3,0,1610.90665032466
3.1,0,1684.06229372937
3.2,0,1780.93632180816
3.3,0,1885.50390136609
3.4,0,1992.21661640078
3.5,0,2108.09158890122
3.6,0,2221.37043859409
3.7,0,2392.21102729935
3.8,0,2513.27624196936
3.9,0,2710.72991835587
4,0,2841.37561207956
4.1,0,3049.43104271973
4.2,0,3254.07391992928
4.3,0,3497.24197905968
4.4,0,3728.05425206939
4.5,0,3974.49632519247
4.6,0,4318.23582478569
4.7,0,4567.83467178541
4.8,0,4911.31360723811
4.9,0,5375.95089606322
5,0,5680.57392477943
