"x"
1855
1196
711
777
780
1332
740
1251
1234
804
1789
222
345
314
465
209
253
656
1621
455
439
439
1414
253
896
921
410
537
954
896
980
642
119
412
413
401
401
399
398
395
398
1321
944
709
776
769
1067
1261
1534
330
1261
720
432
835
887
1096
909
1169
1329
1291
624
641
926
926
368
483
832
647
318
468
1261
508
407
896
479
568
713
200
1666
587
843
594
385
713
327
986
507
1528
384
23
81
630
1161
205
926
130
223
206
732
47
1414
1079
156
433
793
58
223
592
221
61
1830
116
222
32
1059
1049
947
167
247
449
98
16
217
1859
142
1434
124
592
339
1261
429
1144
1141
56
243
11
410
175
171
1565
405
236
1280
122
1291
794
1909
531
165
93
1200
1745
233
2
1320
164
1580
73
6
19
429
479
73
1602
791
1140
1144
589
523
400
158
819
531
54
490
535
353
470
215
1100
400
193
226
1570
1383
124
111
138
1414
212
1230
504
1337
268
1200
221
97
1882
167
64
1075
179
1931
1900
298
73
45
1952
354
552
119
266
236
1207
1167
1141
896
73
318
311
403
1179
347
191
45
73
440
348
123
531
410
684
714
727
514
283
584
1212
584
675
684
668
963
708
996
172
1573
531
270
385
45
354
408
311
531
298
378
659
621
1576
64
665
361
576
1261
1272
1205
912
111
583
1952
1645
139
1230
595
1414
1655
1023
309
776
896
519
247
1718
219
118
364
1261
1195
544
178
1018
1081
116
1261
1534
546
547
92
236
850
1359
474
494
1261
464
192
1250
551
54
828
1049
429
449
747
1329
1587
157
1105
1108
1112
1287
1028
835
1988
531
114
111
119
366
439
544
146
659
896
345
1476
1678
521
303
310
2172
1429
277
74
73
51
1944
349
2206
860
1537
227
313
953
345
1080
1931
1539
131
887
59
530
531
1505
437
59
1167
1858
2
470
87
134
259
623
192
1900
355
1564
744
551
1890
2237
1892
61
533
1196
1748
530
14
43
160
1130
466
466
51
1312
1279
398
252
181
1600
304
1266
546
1661
273
214
220
593
195
500
73
878
221
225
1525
926
448
453
454
531
524
1257
2237
498
1452
2005
2005
1899
73
114
104
165
1992
1885
545
1587
556
538
639
1320
610
404
411
350
1291
887
2334
199
1508
222
1699
245
220
1955
753
1656
724
773
2068
1643
1642
1657
451
922
782
1626
804
245
2177
926
195
497
533
2738
2615
2903
2675
2466
2540
2357
2312
2260
2701
2239
2235
2237
2246
2950
2615
2957
2959
2958
2958
2959
2820
2738
2265
2805
2757
2465
2677
2767
2343
2743
2708
2618
2573
2675
1339
2257
2769
2801
2804
2957
2923
2875
2912
2343
2907
2883
2885
2958
2922
2816
2545
2618
2830
2791
3105
3101
3033
2936
3111
3088
3023
3006
3005
3012
2993
3074
2995
3122
3022
3076
3118
3033
2936
